Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713690195325,-21.480047303796674,48.45345110211681,83.79168065582097,-26.175613403320312,-16.80614471435547,25.4266357421875,5.1882377,-4.3154554,7.1252275,0.003970624,-0.03894266,-0.024892759,44.24638,26.086996,-36.060253,552.25,385.0,-21.426454915122715,48.653859873270044,83.65705358766351,-26.678425323833967,-17.029393798035034,25.30521538348643,
1713690195395,-20.705493079722864,48.85522872927562,83.63648185999409,-26.39520263671875,-16.389667510986328,25.235902786254883,5.279165,-4.28734,7.049854,-0.03145956,-0.016035212,-0.016646078,44.611813,25.956322,-36.827087,551.75,385.75,-20.915344287837094,48.79608792586232,83.64433194804876,-26.64110380469077,-16.968539884895765,25.298622028083066,
1713690195443,-20.971967342783298,48.64821000407289,83.66477820586785,-26.230422973632812,-16.48238182067871,25.06382179260254,5.279165,-4.28734,7.049854,-0.013286319,-0.010079277,-0.030085113,44.54174,25.956322,-36.827087,552.5,387.25,-20.954648046497233,48.70051172928352,83.65620980640678,-26.586986556336864,-16.922294136970816,25.276286674003856,
1713690195489,-20.678186891499948,50.67311333135189,83.32632375734067,-27.325363159179688,-16.178098678588867,25.62692642211914,5.3036914,-4.2855453,6.990033,0.030695979,-0.0364992,-0.035888333,44.708744,26.031618,-37.189426,553.0,387.25,-20.77583177899622,49.93376406813472,83.49169081843228,-26.684285740941654,-16.85150260205994,25.309641252683782,
1713690195571,-22.856661775260072,48.61403190364079,83.19930436937028,-26.222900390625,-17.53828239440918,25.19435691833496,5.3036914,-4.2855453,6.990033,0.02687807,-0.017104227,-0.11209377,44.708744,26.031618,-37.189426,552.25,389.0,-21.966866507059255,49.14186991153589,83.37946655589055,-26.623486931497307,-16.916832476219454,25.2986748393742,
1713690195628,-22.221970761943368,48.071107511681106,83.82409406735164,-25.69268798828125,-17.144453048706055,25.008264541625977,5.3718867,-4.1874394,6.9320073,0.064599,-0.0056505036,-0.17104226,45.213615,25.523659,-37.77352,552.0,390.5,-22.099092816749497,48.5596541625041,83.60390529635153,-26.500831395206973,-16.93848486541658,25.27104958246089,
1713690195670,-23.12049282589026,48.114416077937165,83.59383996735764,-25.742431640625,-17.656618118286133,24.736614227294922,5.3718867,-4.1874394,6.9320073,0.062308256,-0.03573562,-0.2415972,45.213615,25.523659,-37.77352,552.0,391.5,-22.607613842261244,48.34226817513025,83.59746714985432,-26.400893670418302,-17.006797235061658,25.22021146100138,
1713690195719,-21.632448828621435,50.67443581299344,83.17158458617517,-27.172927856445312,-16.688631057739258,24.83861541748047,5.3718867,-4.1874394,6.9320073,0.07315111,-0.02443461,-0.30298916,45.213615,25.523659,-37.77352,552.5,391.75,-22.14186323461231,49.40023403706431,83.28248973369789,-26.502628065167862,-16.976531702269575,25.183912167136437,
1713690195762,-22.417971628148656,47.991868235762524,84.26673425991133,-25.414794921875,-17.094655990600586,23.82622528076172,5.4341,-3.9942193,6.908079,0.098807454,-0.032070424,-0.34574974,45.44178,24.439112,-38.18964,553.75,395.0,-22.266184659904336,48.891916358253,84.07028696582566,-26.359279430580923,-16.98776826598012,25.05476230800695,
1713690195804,-20.33428575963635,49.899662327051345,84.01582244545605,-26.497055053710938,-15.821328163146973,23.508012771606445,5.4341,-3.9942193,6.908079,0.10323623,0.061239243,-0.4279111,45.44178,24.439112,-38.18964,554.75,395.5,-21.403778193217356,49.20860402669582,84.02491964918414,-26.37743474013076,-16.876810742212516,24.907627879045844,
