Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689435906,91.90875797709768,12.916396340461256,126.80422389578587,-5.8444366455078125,35.32203674316406,16.036848068237305,8.968898,0.3930211,3.7854455,-0.049632803,-0.04153884,0.06704246,52.54974,-2.3118818,-67.117165,648.25,363.0,92.15569394546054,12.709873856573285,126.61380766978752,-5.748598702479712,34.834945369800515,16.672938208470995,
1713689435978,91.08763790152366,14.020275845690165,128.56181899757672,-6.284820556640625,34.68455505371094,16.372392654418945,9.11785,0.35832518,3.7848473,0.0062613687,-0.0346666,0.026419923,52.696217,-2.078718,-67.45651,648.25,362.5,91.65796009905438,13.341807959241406,127.44882850991506,-5.819259052464057,34.82063950271707,16.64434883609261,
1713689436029,91.93513747701599,12.25887676695543,126.53107824548358,-5.69891357421875,35.412967681884766,16.948585510253906,9.11785,0.35832518,3.7848473,-0.05085453,-0.044135015,0.054825157,52.696217,-2.078718,-67.45651,649.0,361.25,91.78210858213788,12.858947540802545,127.00580568132764,-5.8034005909972946,34.87698467454251,16.67328932598338,
1713689436076,90.88621359020723,10.98286938877132,127.94374810332697,-5.0136260986328125,34.87842559814453,16.50218963623047,9.11785,0.35832518,3.7848473,-0.040011674,-0.012980887,0.0346666,52.696217,-2.078718,-67.45651,649.5,362.25,91.39449305829788,12.036541063034095,127.5194829452222,-5.699328476803986,34.87712174228772,16.657013481346116,
1713689436127,89.93716381689516,10.842344000085783,130.48172009690106,-4.8222503662109375,34.09238815307617,16.480894088745117,9.018549,0.36909288,3.446861,-0.026725354,-0.010842858,0.0041233404,52.594704,-2.1892924,-69.0833,649.5,362.75,90.75306364946468,11.559622749630389,128.63090295083512,-5.5837519746953745,34.80247402084477,16.640260137867102,
1713689436187,92.00382863997643,14.409899764607475,126.16089251389526,-6.5074462890625,35.56801223754883,16.718914031982422,9.018549,0.36909288,3.446861,0.049938235,-0.006872234,0.0027488936,52.519947,-2.1892924,-69.0833,650.0,364.0,91.32247185918642,12.506746336136043,127.92544111992612,-5.705471302293208,34.875295783975716,16.647742083407657,
1713689436279,91.22552999338289,12.952434429472936,128.05680908021458,-5.6852264404296875,35.06022262573242,16.965946197509766,9.153743,0.3792624,3.1866415,0.03145956,0.051923547,-0.023823744,52.3861,-2.2407966,-70.80574,651.0,365.5,91.26933257866894,12.645252601338441,127.94449027827015,-5.702803546375465,34.892886935368445,16.67801122493295,
1713689436328,91.87318239386987,12.906204589173749,123.88664283521163,-5.69610595703125,36.322776794433594,16.77379035949707,9.153743,0.3792624,3.1866415,-0.00290161,0.08811731,-0.02687807,52.212708,-2.2407966,-70.80574,653.5,368.5,91.6368431882676,12.727143836871594,127.43288106906736,-5.701920975097474,35.02890509664129,16.687122207634953,
1713689436417,88.95721694111432,12.458918111691023,126.00477121696416,-5.5140838623046875,35.3204345703125,16.559207916259766,9.163913,0.36311084,3.293122,-0.09208794,-0.07391469,0.018478673,52.265697,-2.1355326,-70.23372,659.0,368.5,90.12746429116949,12.614394063631543,127.26914464577406,-5.677168839340612,35.05663681507695,16.67495437064872,
1713689436464,87.98237947913067,14.26474912021148,125.2402120804972,-6.523651123046875,35.212398529052734,16.698720932006836,9.163913,0.36311084,3.293122,-0.01160644,0.11866058,-0.0027488936,52.265697,-2.1355326,-70.23372,660.75,366.75,88.94160529807283,13.471105993863363,127.02720456005684,-5.788713592614101,35.0714536359652,16.677215162943465,
1713689436513,84.79249052857845,12.5283351399563,127.33264529026746,-5.7059478759765625,34.101898193359375,16.739967346191406,8.918648,0.15134603,3.0125637,0.24572055,0.24205536,-0.021991149,52.259933,-0.9210766,-71.33593,665.25,367.25,86.41750850302323,12.907013132543852,127.06389751593484,-5.777807184270366,34.9792247501393,16.68318445947853,
1713689436574,84.99617311847736,13.149143134561923,124.72374150852455,-6.0713043212890625,34.84771728515625,16.785951614379883,8.918648,0.15134603,3.0125637,-0.16417004,0.22525656,0.056963183,52.45825,-0.9210766,-71.33593,667.75,368.5,85.50745947612468,13.077831917749114,126.82828428856354,-5.81648261359168,34.966715112793985,16.692960177069857,
1713689436625,84.09475720391028,12.387187074210726,122.49448284361412,-6.2627105712890625,35.13923645019531,16.971080780029297,8.918648,0.15134603,3.0125637,-0.13805555,0.11285736,-0.020922136,52.45825,-0.9210766,-71.33593,671.0,363.25,84.5491627773377,12.574888914330675,126.39812054792984,-5.875284065675419,34.98312619155288,16.71941637772532,
1713689436680,83.75975881319212,13.380512566057055,119.33538925103754,-7.5274810791015625,35.83709716796875,17.47439956665039,9.131011,0.1058824,3.2805598,-0.07742717,0.1470658,-0.026419923,52.55126,-0.6252419,-70.23782,676.0,355.75,83.99904811274435,13.136426787077907,125.66341989035142,-6.093001449452072,35.06436011405122,16.79123409466237,
1713689436729,81.4307900401926,12.74687542496062,118.1635286340645,-8.237457275390625,35.47340774536133,18.12815284729004,9.131011,0.1058824,3.2805598,-0.059101213,0.14431691,-0.05207626,52.265514,-0.6252419,-70.23782,682.0,344.0,82.18306074815004,12.868646505586556,124.82825668518433,-6.375585976753553,35.10327073806263,16.918408386689656,
1713689436772,79.26784786191052,14.73051352557126,119.11835332153865,-9.34332275390625,34.49053955078125,18.614730834960938,9.237492,-0.08673982,3.5072799,-0.17073683,0.082924955,-0.07803804,52.39398,0.50295985,-69.20929,683.0,341.0,80.092408725233,14.108268216090485,124.13026833853372,-6.766657914064209,35.04498473168237,17.07977092722167,
1713689436826,76.80793943926753,10.038716489523964,118.00916293820413,-7.6458892822265625,33.96930694580078,18.437223434448242,9.237492,-0.08673982,3.5072799,-0.04046982,0.07086037,-0.1244638,52.39398,0.50295985,-69.20929,684.5,334.0,77.80584563095204,11.743482962830212,123.25295641950265,-6.882518160545178,34.94266096623283,17.208898491052977,
1713689436878,75.23309690479607,12.701186438513322,116.84633791885544,-9.166549682617188,33.60198974609375,18.435401916503906,9.237492,-0.08673982,3.5072799,-0.16279559,-0.023518313,-0.15103643,52.39398,0.50295985,-69.20929,685.0,331.25,76.04643447374279,12.253842746877574,122.12867531131513,-7.1834952010603015,34.81512972102632,17.325569533698005,
1713689436923,70.9283018647139,12.011780439259795,115.82374559893023,-8.998672485351562,32.32718276977539,18.1983642578125,9.238688,0.08315059,3.9948175,-0.16646078,-0.03726278,-0.18997909,52.441273,-0.47331232,-66.616295,685.75,329.0,72.5343451667473,12.127902315994087,120.80763485382518,-7.4226892234530615,34.578463961416844,17.40859406372741,
1713689436975,69.01640905049825,12.524875644397197,111.40077300584043,-9.323410034179688,32.69108581542969,18.152360916137695,9.238688,0.08315059,3.9948175,-0.08903361,0.061086524,-0.10338894,53.223736,-0.47331232,-66.616295,687.0,332.0,70.13527207874164,12.334926241068274,118.69312217071304,-7.673155698600057,34.398927262547204,17.479344827528674,
1713689437016,67.96124211332933,11.959725360304848,109.25258261459862,-8.979507446289062,32.843536376953125,17.758256912231445,9.238688,0.08315059,3.9948175,0.0106901415,0.29932398,-0.160963,53.223736,-0.47331232,-66.616295,687.0,334.5,68.6679870860471,12.134492178876737,116.45158170880607,-7.8452995062015,34.25097082591832,17.505876317823216,
1713689437065,67.29883272001926,14.31553272187463,105.6557420222164,-10.162979125976562,33.36054992675781,17.602779388427734,9.235697,0.27098715,4.761717,-0.0022907446,-0.23243423,-0.17623462,53.294327,-1.4938853,-62.72539,686.0,338.5,67.74093428138656,13.348807603260642,114.12376804812735,-8.150710506917155,34.16626960736299,17.515094214853367,
1713689437107,62.784408284198435,14.557334329509633,104.99985289868523,-9.81365966796875,31.770368576049805,16.879911422729492,9.235697,0.27098715,4.761717,0.01572978,0.02367103,-0.046731193,53.294327,-1.4938853,-62.72539,684.5,345.0,64.3579617133649,14.05872350454933,112.46234913518423,-8.369844749235478,33.938359708705484,17.454672501314306,
1713689437152,62.723879557427125,14.641399502813885,100.38093321560157,-9.9586181640625,32.9182014465332,16.77975082397461,9.235697,0.27098715,4.761717,0.17608191,0.07880162,-0.061086524,54.269173,-1.4938853,-62.72539,685.0,349.25,63.21586064683091,14.40603331817526,110.53491551355194,-8.579204521998136,33.84131723361674,17.390470629419816,
1713689437195,60.27251588232246,14.978226896870593,101.28432608890976,-9.602569580078125,32.040374755859375,16.365829467773438,8.520842,0.18903299,4.9531426,0.14569137,0.07742717,-0.1516473,54.23339,-1.0987822,-59.830673,689.0,357.0,61.24851617577572,14.747841807907319,109.20037977272061,-8.714057908902396,33.6700027209431,17.29300171886839,
1713689437241,57.58554562941655,17.396251639446422,96.75611723988818,-10.55322265625,32.499427795410156,16.398223876953125,8.520842,0.18903299,4.9531426,-0.010079277,0.07880162,-0.16737708,54.23339,-1.0987822,-59.830673,696.0,371.5,59.286203404700956,16.32919024923303,107.56487178183997,-8.956412866496967,33.55865187248881,17.207886046473472,
1713689437284,55.72656224717515,15.442438864921046,96.90767866472657,-9.036880493164062,32.01633071899414,16.111465454101562,8.520842,0.18903299,4.9531426,-0.14156802,0.104610674,-0.093004234,54.23339,-1.0987822,-59.830673,699.25,378.0,57.54068382416407,15.800238333117196,106.24024702899356,-8.96701644525562,33.41193869310609,17.10358912317505,
1713689437327,54.58778235725764,16.180054655838052,95.62232218861483,-9.467483520507812,32.12802505493164,15.812579154968262,8.321639,0.5168497,4.6229334,-0.23060162,0.14492778,-0.03481932,55.216084,-3.107748,-60.946445,704.5,381.0,56.21419694807504,16.025333496687473,104.98949902473579,-9.03296522824265,33.28980650845531,16.980781900683652,
1713689437380,51.65725188042092,17.866428847255197,92.79617619395333,-10.435501098632812,31.965774536132812,15.331775665283203,8.321639,0.5168497,4.6229334,-0.031306844,0.18066339,-0.14813483,55.216084,-3.107748,-60.946445,713.0,387.75,54.39752107403242,17.06327653616764,103.55883032976847,-9.217783647518837,33.16385807039903,16.82392031120901,
1713689437425,50.199305251774256,18.74759992219194,92.09705028116741,-11.098526000976562,31.576969146728516,15.586263656616211,8.321639,0.5168497,4.6229334,-0.06765333,0.14110987,-0.105832405,55.216084,-3.107748,-60.946445,716.0,388.0,52.80139632720157,17.988102563071983,102.19768612386792,-9.46561747207203,33.01290538535584,16.706188318512122,
1713689437472,49.72278909793398,17.51202492949287,89.96739930286634,-10.606124877929688,31.820018768310547,15.524555206298828,8.273184,0.6729814,4.7228336,-0.1908954,0.21059579,-0.031001411,55.291775,-4.040915,-60.279663,714.5,387.5,51.703625910274475,17.73916932590562,100.72877418983526,-9.615907229627222,32.899432138987365,16.593785560912707,
1713689437524,47.08664444930797,17.983345031573524,88.00828111356577,-11.074142456054688,31.04372215270996,15.333041191101074,8.273184,0.6729814,4.7228336,-0.2405282,0.18096884,0.03191771,55.773354,-4.040915,-60.279663,715.5,388.5,50.115521090924496,17.857567873036018,99.16851446656001,-9.808065401957036,32.72290787133913,16.473857351107103,
1713689437572,45.536275230370556,17.89828247502415,86.74990787416303,-11.21728515625,30.632259368896484,15.30456829071045,8.273184,0.6729814,4.7228336,-0.19914207,0.1769982,-0.010842858,55.773354,-4.040915,-60.279663,716.75,388.25,48.563343454143094,17.876390537150666,97.59565178217275,-9.993764586483953,32.524035095672346,16.362628820473567,
1713689437610,42.85344188142174,16.951446275723132,85.10114226976353,-11.166946411132812,29.618614196777344,15.768305778503418,8.339585,0.6442675,4.800002,-0.23808473,0.15836681,-0.030085113,55.759415,-3.8305588,-60.07663,717.0,383.5,46.610141186855586,17.461005523292677,95.98604872728463,-10.148359998218298,32.24765715936768,16.306093887479694,
1713689437660,41.558497770130494,17.1229954607466,83.89894134927016,-11.5009765625,29.124530792236328,15.67121696472168,8.339585,0.6442675,4.800002,-0.2041817,0.21120666,-0.06765333,55.759415,-3.8305588,-60.07663,716.0,382.0,44.86066045013934,17.31864151632699,94.41582033402948,-10.3266003274498,31.950570007384037,16.245701269740195,
1713689437706,38.27043147096993,18.531689945985427,81.82885051749237,-12.90673828125,27.584253311157227,16.193111419677734,8.339585,0.6442675,4.800002,-0.18906279,0.3220787,-0.109650314,55.759415,-3.8305588,-60.07663,714.25,379.0,42.5662093527404,17.823926789657865,92.76117640265473,-10.66659663571049,31.535224472348222,16.240698664356458,
1713689437746,38.12493553672268,18.56235569385671,79.52975339283056,-13.325180053710938,27.96699333190918,16.247577667236328,8.412566,0.48993045,5.572884,-0.25534168,0.21578814,-0.07376198,56.054264,-2.7795975,-56.47761,713.25,378.0,41.10007694060188,18.13182355545337,90.99346192604223,-11.016930053344964,31.195796763534098,16.241353028968653,
1713689437791,36.59480295821312,18.532833311645522,78.50410814098684,-13.595001220703125,27.278676986694336,16.201173782348633,8.412566,0.48993045,5.572884,-0.2556471,0.26923886,0.027030786,56.054264,-2.7795975,-56.47761,713.0,375.75,39.648839018200235,18.300974401530482,89.36281921204366,-11.356654011920158,30.823181050405264,16.23753098126901,
1713689437839,34.68706494907066,17.684365160904136,75.84460571401623,-13.866058349609375,26.650802612304688,16.347505569458008,8.412566,0.48993045,5.572884,-0.040317107,0.26939157,-0.0355829,56.054264,-2.7795975,-56.47761,712.0,368.5,38.07325364566584,18.035532735414474,87.58490255921761,-11.6873294354924,30.42628387704119,16.24799230538945,
1713689437890,33.31432854360803,18.032132031327066,75.06344777790555,-14.350845336914062,25.90239906311035,16.406993865966797,8.066803,0.0951147,5.936593,-0.016493361,0.13194689,-0.09117164,55.603775,-0.54409045,-53.649574,711.25,366.5,36.57968198387762,18.034047271943024,85.95516193130864,-12.038312828509508,29.995949687103423,16.263117316432876,
1713689437938,31.289658142696563,18.652101139350293,72.393802482558,-15.683380126953125,25.184505462646484,16.84306526184082,8.066803,0.0951147,5.936593,-0.13164146,0.06566802,-0.11453723,56.07139,-0.54409045,-53.649574,712.5,360.5,34.95558108377026,18.305071923005215,84.24493182164238,-12.51863963545689,29.5382614306769,16.31828481948792,
