Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689934587,-40.00647963732381,16.92377904905904,75.53809744458445,-10.947555541992188,-23.618492126464844,-5.0896430015563965,8.897113,-0.55513483,4.007978,-0.0013744468,-0.0012217305,0.0010690142,66.37492,3.2559931,-65.74935,701.25,383.5,-40.05014398151287,16.806082524923653,75.52936969540345,-10.881975885330455,-23.553081246531363,-5.553647512290594,
1713689934637,-40.42547129559966,16.92752651431932,74.58144243058885,-11.054244995117188,-24.102069854736328,-5.209493637084961,8.897113,-0.55513483,4.007978,0.0022907446,0.0050396384,0.0070249503,66.37492,3.2559931,-65.74935,701.75,384.0,-40.29852830014678,16.90209247076123,74.73623754016563,-10.90467655576111,-23.605303745050655,-5.520909901765123,
1713689934683,-39.3769104725537,16.55142672511033,75.92940788402075,-10.621810913085938,-23.12664222717285,-5.067234992980957,8.991031,-0.5563313,3.9954157,0.01450805,-0.02031127,0.012370021,66.38981,3.2363222,-66.04069,702.0,383.5,-39.670194724449566,16.644676255101036,75.67443536781164,-10.867402085959332,-23.559771105511288,-5.477754111466146,
1713689934720,-38.52499782381909,16.643010471430504,77.00328433432817,-10.573043823242188,-22.33827018737793,-4.936022758483887,8.991031,-0.5563313,3.9954157,-0.00992656,-0.0010690142,0.010842858,66.38981,3.2363222,-66.04069,702.0,383.0,-38.92177537276851,16.643467018892817,76.74547045853109,-10.828613182256547,-23.44357592598451,-5.426221958783649,
1713689934756,-40.0541933841315,16.907788142625765,75.51564560388722,-10.927520751953125,-23.53813362121582,-5.086799144744873,8.991031,-0.5563313,3.9954157,-0.007483099,-0.0012217305,0.0010690142,66.602394,3.2363222,-66.04069,703.25,383.5,-39.678457238801336,16.833146810342413,75.70299490454657,-10.841646674712383,-23.45257071936529,-5.3939343900825225,
1713689934802,-39.700634648839454,17.01454780448966,75.60498421605881,-10.99041748046875,-23.2740535736084,-5.076197147369385,9.02812,-0.5485546,4.005585,-0.0027488936,0.031306844,-0.017715093,66.60326,3.1789172,-66.07416,703.75,383.5,-39.69304775754337,16.963407595823547,75.61959340212215,-10.861250868612029,-23.435589289804412,-5.3637096596616765,
1713689934833,-39.700634648839454,17.01454780448966,75.60498421605881,-10.99041748046875,-23.2740535736084,-5.076197147369385,9.02812,-0.5485546,4.005585,0.025045475,0.07727446,-0.023365596,66.60326,3.1789172,-66.07416,703.75,383.5,-39.69788424274375,17.001344545700437,75.60726524992978,-10.87827173027454,-23.420223217405493,-5.3363600543637535,
1713689934869,-40.21311128266984,16.45098388472048,74.85249969563783,-10.654525756835938,-23.80304527282715,-5.194464206695557,9.02812,-0.5485546,4.005585,0.021227567,0.09468412,0.004428773,66.60326,3.1789172,-66.07416,704.0,384.0,-40.019522497667694,16.562729284357996,74.98090074100628,-10.848787723481308,-23.45663913555683,-5.322862222926094,
1713689934934,-40.69930911120761,17.362795833551303,74.18572254511193,-11.415786743164062,-24.170761108398438,-5.172494888305664,9.272786,-0.5162515,4.2191443,-0.016187929,0.037415497,-7.6358154E-4,66.47217,2.9009736,-65.534325,704.75,384.0,-40.30782102370652,17.260445609249427,74.61007145494078,-10.923503718103081,-23.52456993250224,-5.308558541953112,
1713689934973,-40.46648500857424,17.770980553933036,74.54989883978133,-11.62591552734375,-23.868947982788086,-5.295205593109131,9.272786,-0.5162515,4.2191443,-0.059253927,0.14370605,-0.013286319,66.47217,2.9009736,-65.534325,705.5,384.25,-40.35751769802302,17.696600489738362,74.59017593484548,-11.016063661135892,-23.557328867664722,-5.307288343736226,
